,Date,Actual,Predicted,Lower,Upper
0,2009.08.10,9337.950195,9081.17166222972,8613.823816765414,9558.574055275563
1,2009.08.11,9241.450195,9141.965668316792,8705.396599359034,9667.1074188751
2,2009.08.12,9361.610352,9129.14245740254,8650.917546091423,9579.658728922099
3,2009.08.13,9398.19043,9142.727577177186,8647.728875237342,9607.227344570038
4,2009.08.14,9321.400391,9205.617699870472,8717.826747884565,9692.988288645849
5,2009.08.17,9135.339844,9212.102866147132,8746.502618217879,9717.402418478847
6,2009.08.18,9217.94043,9248.553104708826,8766.982369515537,9726.315209457429
7,2009.08.19,9279.160156,9218.084810654442,8717.41155594949,9680.349042471473
8,2009.08.20,9350.049805,9237.841126069796,8785.664382266048,9705.87790725771
9,2009.08.21,9505.959961,9277.351302388952,8826.030057496286,9758.561904315811
10,2009.08.24,9509.280273,9303.932625071864,8852.77759492497,9784.317437378271
11,2009.08.25,9539.290039,9345.579892982068,8842.10065667528,9832.720304969936
12,2009.08.26,9543.519531,9335.328655149136,8858.477845895564,9793.99456081562
13,2009.08.27,9580.629883,9343.987327714145,8888.05984683393,9816.603520519393
14,2009.08.28,9544.200195,9397.412488756116,8930.54358908543,9854.780094260588
15,2009.08.31,9496.280273,9410.589226488355,8944.543370205021,9841.599730308271
16,2009.09.01,9310.599609,9456.841664898042,9028.502029718458,9910.2003882975
17,2009.09.02,9280.669922,9425.304191753221,8953.961609757625,9879.300481130484
18,2009.09.03,9344.610352,9443.12395369418,8977.875246060386,9908.662712957792
19,2009.09.04,9441.269531,9482.61175843939,9057.973713394775,9958.292339366842
20,2009.09.08,9497.339844,9516.766653318076,9033.729529790702,9971.823003895046
21,2009.09.09,9547.219727,9497.519003856827,9031.700661608438,9977.49152742561
22,2009.09.10,9627.480469,9511.135417893243,9032.370062558575,9959.65185622428
23,2009.09.11,9605.410156,9569.5519832172,9128.73491675316,10021.985819200185
24,2009.09.14,9626.799805,9558.988923019257,9100.73761941641,9998.994416802829
25,2009.09.15,9683.410156,9601.80493861671,9155.011915394623,10061.397227437155
26,2009.09.16,9791.709961,9586.003058234954,9123.066702978636,10039.748863381194
27,2009.09.17,9783.919922,9604.531408097338,9147.19084745176,10099.362462427644
28,2009.09.18,9820.200195,9658.302749537694,9206.625535673866,10137.152617211928
29,2009.09.21,9778.860352,9662.157699621279,9189.295769439916,10127.375516108328
30,2009.09.22,9829.870117,9704.410227346172,9249.195267850226,10194.477411140915
31,2009.09.23,9748.549805,9704.444399921778,9236.895077772093,10116.508488409638
32,2009.09.24,9707.44043,9722.695857678153,9237.196864695514,10171.348459707157
33,2009.09.25,9665.19043,9774.247648892242,9306.129130400717,10207.600741102056
34,2009.09.28,9789.360352,9767.934798635924,9320.32956221325,10195.957898604562
35,2009.09.29,9742.200195,9814.848741926253,9352.861725192444,10274.903756834496
36,2009.09.30,9712.280273,9785.698062742616,9331.315299287304,10259.14620561582
37,2009.10.01,9509.280273,9791.642306536396,9344.35926182087,10223.759726088378
38,2009.10.02,9487.669922,9845.110261429676,9405.135551293328,10295.027681058084
39,2009.10.05,9599.75,9819.364540744982,9374.02462377056,10259.960230906783
40,2009.10.06,9731.25,9847.08172026043,9431.341903798912,10336.391795050156
41,2009.10.07,9725.580078,9825.990428442492,9369.965306454194,10232.731732507862
42,2009.10.08,9786.870117,9827.104596285351,9367.496264957425,10299.940186580468
43,2009.10.09,9864.94043,9879.204176505029,9430.947588517984,10360.759888041775
44,2009.10.12,9885.799805,9884.762203167436,9498.299007063515,10319.954281726574
45,2009.10.13,9871.05957,9914.206457781413,9468.975116670012,10379.813375372734
46,2009.10.14,10015.860352,9896.787066773544,9469.243909815475,10346.46487877247
47,2009.10.15,10062.94043,9910.958594195501,9476.705705492559,10386.814689315766
48,2009.10.16,9995.910156,9956.200824413123,9522.861007099298,10423.877948435153
49,2009.10.19,10092.19043,9971.484285728597,9518.424467649571,10403.100197509759
50,2009.10.20,10041.480469,10006.66074170493,9552.004203186554,10416.202772451927
51,2009.10.21,9949.360352,9983.387987500992,9540.206217609662,10437.970366769965
52,2009.10.22,10081.30957,9997.089214261156,9560.872504270985,10445.786525725549
53,2009.10.23,9972.179688,10044.547895664173,9597.492159956972,10481.08575971925
54,2009.10.26,9867.959961,10050.60767697413,9598.276794821348,10486.272271138248
55,2009.10.27,9882.169922,10073.044109929924,9629.962144826486,10511.780921542675
56,2009.10.28,9762.69043,10052.221705119533,9641.42206041072,10540.758797946084
57,2009.10.29,9962.580078,10055.422217558575,9579.0333588363,10525.450099433105
58,2009.10.30,9712.730469,10104.094218392083,9657.544056438997,10556.63627682973
59,2009.11.02,9789.44043,10098.57444092416,9654.343057636812,10525.84202824555
60,2009.11.03,9771.910156,10130.054720374588,9685.098450065516,10594.991870711649
61,2009.11.04,9802.139648,10097.263028374997,9641.546498368709,10549.26132355545
62,2009.11.05,10005.959961,10094.228587535108,9657.363107353249,10564.638058307566
63,2009.11.06,10023.419922,10143.552693183985,9724.9835253521,10584.473678381535
64,2009.11.09,10226.94043,10135.911284574497,9661.829052278625,10559.934999752255
65,2009.11.10,10246.969727,10174.37849020552,9739.076902303204,10622.77979583308
66,2009.11.11,10291.259766,10161.084348208531,9728.527884201934,10617.466713335918
67,2009.11.12,10197.469727,10185.73722918608,9735.306198799459,10617.92148668199
68,2009.11.13,10270.469727,10217.404330998252,9808.859838124326,10617.54193615437
69,2009.11.16,10406.959961,10228.106682838166,9767.970832450894,10681.704764942153
70,2009.11.17,10437.419922,10263.896283171454,9808.38268042364,10681.858240601225
